FECHA_CORTE;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;DIA_RECORRIDO;MES_REGISTRADO;SEMANA_REGISTRADO;DIA_SEMANA;TURNO 1;TURNO 2;TOTAL;UNIDAD
20240531;Arequipa;Caylloma;Majes;040520;20230101;202301;01;DOMINGO;9.80;7.11;16.91;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230102;202301;01;LUNES;42.43;8.37;50.80;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230103;202301;01;MARTES;48.83;7.60;56.43;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230104;202301;01;MIÉRCOLES;35.52;7.59;43.11;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230105;202301;01;JUEVES;33.42;7.50;40.91;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230106;202301;01;VIERNES;39.12;6.54;45.66;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230107;202301;01;SÁBADO;43.66;8.28;51.94;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230108;202301;02;DOMINGO;9.88;7.00;16.88;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230109;202301;02;LUNES;42.45;8.36;50.81;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230110;202301;02;MARTES;48.53;7.50;56.02;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230111;202301;02;MIÉRCOLES;34.00;7.38;41.38;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230112;202301;02;JUEVES;33.81;7.70;41.51;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230113;202301;02;VIERNES;38.69;6.51;45.20;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230114;202301;02;SÁBADO;42.76;8.22;50.98;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230115;202301;03;DOMINGO;9.86;7.00;16.86;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230116;202301;03;LUNES;42.48;8.30;50.78;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230117;202301;03;MARTES;48.99;7.60;56.59;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230118;202301;03;MIÉRCOLES;35.28;7.59;42.87;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230119;202301;03;JUEVES;33.94;7.61;41.55;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230120;202301;03;VIERNES;40.07;6.64;46.71;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230121;202301;03;SÁBADO;44.21;8.37;52.58;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230122;202301;04;DOMINGO;10.06;6.89;16.95;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230123;202301;04;LUNES;41.68;8.37;50.05;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230124;202301;04;MARTES;48.87;7.71;56.58;TONELADAS
20240531;Arequipa;Caylloma;Majes;040520;20230125;202301;04;MIÉRCOLES;37.01;7.96;44.97;TONELADAS
